country,year,decade,renewables_pct,fossil_pct,gdp_per_capita,log_gdp_per_capita,energy_consumption
Argentina,1978,1970,4.903,93.28,12585.312528761991,9.440285740694682,444.487
Argentina,1979,1970,6.312,92.109,13272.438270465256,9.493444853512015,475.767
Argentina,1980,1980,9.006,89.612,13247.262148994932,9.49154617979886,473.282
Argentina,1981,1980,9.004,89.281,12288.594038017765,9.416426797156616,458.869
Argentina,1982,1980,10.539,88.349,11712.016359411411,9.368370633007785,470.355
Argentina,1983,1980,10.597,87.462,11932.31310970778,9.387005386465988,490.868
Argentina,1984,1980,11.376,85.986,11982.830544327462,9.391230116242918,492.394
Argentina,1985,1980,11.979,84.698,11015.509792049485,9.307059539785953,486.092
Argentina,1986,1980,11.631,85.231,11639.454904264192,9.362155890658324,509.708
Argentina,1987,1980,11.583,85.018,11756.883536511397,9.372194180933791,532.661
Argentina,1988,1980,7.946,89.062,11356.673742486517,9.337560845040995,541.383
Argentina,1989,1980,7.116,90.189,10489.951863220174,9.258173112554283,522.113
Argentina,1990,1990,9.729,86.305,10341.68108976497,9.243937716062707,513.625
Argentina,1991,1990,8.57,87.28,11316.720271590744,9.334036581119657,522.459
Argentina,1992,1990,9.64,86.826,12366.760102265325,9.42276751533812,560.339
Argentina,1993,1990,11.552,84.698,13023.27529553357,9.474493442923693,578.831
Argentina,1994,1990,12.563,83.661,13663.075427090685,9.522452248859786,611.176
Argentina,1995,1990,11.83,85.032,13162.270304324926,9.485109705526426,630.652
Argentina,1996,1990,9.646,87.189,13780.74304410441,9.531027465037312,659.104
Argentina,1997,1990,11.781,84.886,14786.06556389141,9.601440500294379,668.982
Argentina,1998,1990,10.78,86.215,15246.72649644672,9.632120103022961,694.257
Argentina,1999,1990,8.606,88.579,14629.029462704764,9.590763152969139,705.548
Argentina,2000,2000,11.557,85.985,14416.111343031085,9.576101703391481,703.635
Argentina,2001,2000,15.036,82.098,13684.2460987385,9.524000530351044,687.341
Argentina,2002,2000,15.335,82.217,12110.609356195853,9.401837153711915,658.151
Argentina,2003,2000,13.613,83.435,13093.390906344302,9.479862870914681,704.758
